3600	300	240	
171	229	1	0
11	244	1	0
222	71	1	0
146	86	1	0
209	11	1	0
37	179	1	0
146	142	1	0
118	197	1	0
27	289	1	0
0	159	1	0
75	200	1	0
181	276	1	0
207	193	1	0
209	217	1	0
172	45	1	0
105	97	1	0
113	80	1	0
42	246	1	0
26	112	1	0
101	268	1	0
84	204	1	0
163	228	1	0
225	0	1	0
156	281	1	0
65	268	1	0
141	27	1	0
220	9	1	0
163	101	1	0
1	49	1	0
50	45	1	0
191	27	1	0
221	121	1	0
55	11	1	0
82	274	1	0
140	242	1	0
42	21	1	0
216	281	1	0
81	216	1	0
132	270	1	0
56	48	1	0
222	132	1	0
21	258	1	0
26	169	1	0
136	272	1	0
190	112	1	0
95	226	1	0
132	0	1	0
238	252	1	0
1	147	1	0
229	84	1	0
70	238	1	0
111	275	1	0
115	45	1	0
164	30	1	0
73	242	1	0
15	188	1	0
218	13	1	0
220	241	1	0
55	100	1	0
35	44	1	0
152	204	1	0
50	264	1	0
21	277	1	0
57	188	1	0
187	193	1	0
36	298	1	0
224	179	1	0
186	123	1	0
110	281	1	0
219	217	1	0
69	238	1	0
213	175	1	0
128	283	1	0
230	77	1	0
0	173	1	0
31	118	1	0
211	58	1	0
229	168	1	0
46	61	1	0
3	174	1	0
225	242	1	0
145	37	1	0
162	191	1	0
224	240	1	0
229	6	1	0
132	202	1	0
201	203	1	0
132	12	1	0
134	85	1	0
27	52	1	0
63	191	1	0
195	191	1	0
10	120	1	0
203	88	1	0
155	272	1	0
131	216	1	0
135	11	1	0
34	8	1	0
26	98	1	0
52	229	1	0
182	281	1	0
31	275	1	0
70	247	1	0
180	17	1	0
197	230	1	0
235	98	1	0
1	133	1	0
19	115	1	0
156	111	1	0
129	25	1	0
108	237	1	0
65	28	1	0
173	200	1	0
4	45	1	0
167	58	1	0
219	200	1	0
174	177	1	0
161	240	1	0
176	296	1	0
174	227	1	0
96	269	1	0
103	210	1	0
72	234	1	0
178	24	1	0
114	71	1	0
232	50	1	0
58	296	1	0
137	286	1	0
96	72	1	0
203	204	1	0
9	172	1	0
19	298	1	0
158	229	1	0
183	284	1	0
231	142	1	0
38	238	1	0
12	271	1	0
170	291	1	0
145	97	1	0
187	0	1	0
172	134	1	0
70	216	1	0
103	231	1	0
45	125	1	0
35	279	1	0
140	294	1	0
37	38	1	0
57	214	1	0
140	131	1	0
219	155	1	0
2	7	1	0
224	128	1	0
19	10	1	0
79	294	1	0
208	59	1	0
